Circular EX	Serviced: 934, Unfair: 0, UserN :1000
Shuttle0,	0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,3,2,2,2,3,3,3,3,3,3,4,4,4,5,5,5,5,7,7,7,7,7,7,7,8,8,8,8,8,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,5,5,5,6,6,6,6,6,5,5,5,5,8,8,8,8,8,8,10,10,10,11,11,11,11,11,11,11,10,10,10,10,10,10,10,11,11,11,11,11,12,12,12,11,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,8,8,8,8,8,8,6,6,6,7,7,7,7,45,45,45,45,45,45,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,43,43,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,45,45,45,45,45,45,45,45,45,45,43,43,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,45,45,45,45,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,7,7,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle1,	0,0,0,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,5,5,5,5,7,7,7,7,7,7,7,9,9,9,10,10,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,5,5,5,5,2,2,2,2,2,2,3,3,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,11,10,10,10,9,9,8,8,8,8,8,8,8,7,7,7,6,6,6,7,7,7,7,7,7,8,8,8,8,7,7,7,7,7,7,7,6,6,6,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,11,11,11,11,10,10,10,10,8,8,8,8,8,8,8,9,9,9,9,9,9,9,8,8,8,8,8,8,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,10,10,9,9,9,45,45,45,45,45,45,45,44,44,44,44,44,44,45,45,45,44,44,44,44,43,43,43,43,43,43,43,45,45,45,45,45,44,44,44,45,45,45,45,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,10,10,10,10,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
Shuttle2,	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,7,7,7,7,8,8,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,4,4,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,11,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,45,42,42,42,43,43,40,40,40,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,43,45,45,45,45,45,45,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,42,42,42,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,7,7,10,10,10,45,45,45,45,45,45,45,44,44,44,45,45,45,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,8,8,9,9,9,7,7,7,7,35,35,35,34,34,34,34,34,34,34,34,34,33,33,33,33,32,32,32,31,31,31,31,29,29,29,28,28,27,27,27,0,0,0,0,0,0,0,0,0,0,0
Shuttle3,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,9,9,9,10,10,11,11,11,11,11,11,11,10,10,10,10,10,10,8,8,8,6,6,6,6,6,6,6,5,5,5,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,3,3,4,4,4,4,6,6,6,6,6,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,9,9,9,9,9,9,9,7,7,7,7,7,7,45,43,43,43,43,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,43,42,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,44,44,44,44,45,45,45,5,5,5,5,5,5,5,6,6,6,6,6,6,35,38,38,38,42,42,45,45,45,45,45,45,45,45,45,45,44,44,44,43,43,43,42,42,42,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,12,12,12,12,12,12,12,10,10,10,9,9,7,7,7,8,8,8,8,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43,43,43,43,43,41,41,41,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Shuttle4,	0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,6,6,6,6,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,13,15,15,15,15,15,15,15,16,16,16,17,17,17,17,17,18,18,18,18,19,19,19,19,19,19,19,19,18,18,18,18,21,21,21,21,20,20,20,20,21,21,21,20,20,20,20,20,20,20,21,21,21,21,21,21,19,19,19,19,17,17,17,17,17,15,15,15,15,19,19,19,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15,14,14,14,16,16,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,15,15,15,15,15,15,15,13,13,13,13,13,13,16,16,16,16,14,14,15,15,15,15,15,15,15,16,16,16,18,18,18,17,17,17,17,17,17,18,18,18,18,18,18,18,17,17,17,17,16,16,16,17,17,16,16,16,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,19,19,19,20,20,20,20,20,20,20,18,18,18,18,18,18,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,41,41,41,40,40,39,39,39,41,41,41,41,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,36,36,36,36,35,35,35,7,7,7,7,7,7,7,7,7,7,7,7,7,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,43,43,42,42,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,14,14,12,12,12,21,21,21,21,45,45,45,44,44,44,43,43,43,43,43,43,44,44,44,44,43,43,43,40,40,40,40,43,43,43,42,42,37,37,37,13,13,13,13,11,11,11,11,11,11,11,11,9,9,9,9,6,6,6,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,0,0

How early,	-57336/934,	-26,8,29,-45,8,2,-33,12,-7,15,-29,16,13,-46,-22,11,-47,20,-44,-38,-15,18,14,5,-61,-27,-21,18,-7,-9,-29,29,18,-41,-2,-13,-41,-15,-34,7,-48,-37,18,17,-24,-34,7,-33,17,-1,-51,13,-47,23,2,-35,-1,12,-18,-43,-45,14,-33,-25,36,-42,-31,28,-36,16,-17,19,2,-12,17,28,35,-19,33,20,28,-13,-3,-35,-8,-24,31,-22,33,-4,12,3,12,11,-48,-26,16,-39,-48,-15,-4,17,14,-5,-19,-4,24,-11,-42,3,-34,12,-35,-27,-57,10,-48,-12,-29,12,20,21,12,11,16,-4,-8,-64,18,12,23,-22,-28,32,-14,21,-50,-9,32,-26,-41,-30,22,16,21,10,22,23,-2,-25,29,-32,-43,-37,-26,-34,-23,-6,7,-38,-4,21,-24,-31,-36,-6,18,-64,10,11,-32,15,29,10,-44,6,-59,1,-25,7,28,-9,-8,7,-22,-46,-20,-68,-1,17,21,-33,-29,27,-46,19,4,26,-31,-5,-29,-70,14,-37,-37,-10,28,-40,-22,-45,-28,27,-12,-59,-43,-18,-6,15,2,15,27,10,-21,23,19,-24,11,-1,6,-6,18,13,13,21,0,-25,-13,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,-7,0,37,26,19,14,6,16,28,14,4,-6,18,11,-33,-5,-31,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,14,-25,1,2,-20,19,19,15,21,21,-21,-21,-21,-21,-21,14,-5,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-33,4,17,12,-49,-33,-15,19,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-29,-58,-18,13,-30,-38,-43,11,-46,-46,-46,-46,-46,-35,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-71,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,4,-28,-38,-14,-59,-32,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-14,16,16,-60,-35,-32,-4,-40,11,-40,8,-2,4,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,4,-9,32,-29,-15,-22,-4,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-129,-49,-83,-41,-56,-88,-90,-8,-9,-2,-29,5,10,27,-13,11,-1,-64,-44,-84,-117,-57,-21,-31,-31,27,-113,-20,9,-95,-36,14,-47,13,27,24,-51,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-89,-53,-99,-63,-21,-66,25,-27,-39,-28,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-67,-139,-6,-61,-34,-26,-33,14,-84,-57,19,0,-3,-14,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-168,-152,-31,4,-10,15,-9,-4,3,-22,21,-21,-12,3,-34,-62,22,5,32,38,-18,-34,-22,4,-14,17,20,-2,26,1,-140,-92,-137,-105,-52,-29,-61,-23,12,27,18,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-1,3,-2,21,20,-6,23,3,7,16,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-10,-16,18,14,12,21,8,16,21,-44,-33,29,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-175,-150,-139,18,28

How wait,	60250/934,	0,2,3,7,10,11,7,3,8,4,1,8,1,8,2,8,9,8,10,10,1,3,10,7,29,7,1,10,33,21,3,3,0,11,11,31,3,7,2,11,22,15,6,4,25,20,11,10,1,31,7,5,31,1,2,1,10,20,16,9,19,10,17,9,2,0,21,0,10,2,15,9,10,4,10,10,0,10,5,4,2,5,30,31,4,10,1,8,5,31,12,10,1,10,8,33,8,9,8,33,30,15,7,6,5,12,3,29,27,15,29,7,3,4,29,22,10,15,7,6,7,5,6,13,8,5,9,24,0,0,1,0,10,0,4,3,12,7,0,3,15,10,16,7,2,11,6,5,1,9,0,4,9,5,0,8,7,2,11,6,7,9,10,9,2,4,12,24,17,4,6,12,6,0,2,10,25,17,2,0,4,27,12,11,6,8,21,30,5,7,2,11,3,0,12,5,3,6,15,9,10,30,10,1,3,11,4,8,7,25,32,5,8,23,3,8,1,9,4,6,5,8,1,9,9,1,4,8,8,25,6,11,5,9,30,21,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,0,1,2,8,5,15,5,4,13,11,13,6,1,15,6,3,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,5,3,3,2,24,10,7,12,6,0,31,31,31,31,31,5,12,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,14,1,6,9,43,16,2,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,24,10,6,7,8,7,1,56,56,56,56,56,11,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,62,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,0,5,10,10,69,4,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,4,0,3,34,36,10,8,14,10,14,5,3,11,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,0,10,0,55,19,23,5,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,95,81,60,40,22,65,58,34,7,1,55,13,8,5,14,10,1,68,62,48,127,23,22,17,5,5,131,11,6,53,48,12,7,11,5,2,49,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,69,83,59,67,59,46,1,1,5,24,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,53,157,44,65,62,3,13,4,44,17,0,1,16,0,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,163,147,5,3,48,4,18,0,24,28,6,7,10,5,66,36,4,13,0,0,5,12,12,3,32,15,8,20,0,0,150,116,115,115,76,53,48,24,12,3,9,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,9,1,26,17,1,7,9,21,11,14,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,34,20,3,5,3,5,10,2,0,76,51,3,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,207,174,163,14,10


Missed people's location (Destination / Demand time) At 539
A Station,	(L/531/-1), (V/556/-1)
B Station,	(F/528/-1), (N/556/-1), (W/567/-1)
C Station,	(S/550/-1)
D Station,	(S/572/-1), (Q/580/-1), (L/588/-1)
E Station,	(D/537/-1), (F/538/-1)
F Station,	(Q/550/-1), (Q/550/-1), (U/555/-1)
G Station,	(C/355/-1), (D/423/-1), (U/575/-1), (S/581/-1)
H Station,	(U/346/-1), (D/369/-1), (L/435/-1), (O/453/-1), (G/512/-1), (N/588/-1)
I Station,	(F/556/-1), (A/566/-1), (F/579/-1)
J Station,	(M/584/-1), (L/589/-1)
K Station,	(J/506/-1), (H/576/-1)
L Station,	(V/547/-1), (D/552/-1)
M Station,	
N Station,	(J/534/-1), (Q/579/-1)
O Station,	(J/548/-1), (G/549/-1), (E/558/-1), (G/573/-1), (M/578/-1), (M/582/-1)
P Station,	(D/575/-1)
Q Station,	(V/570/-1)
R Station,	(H/542/-1), (G/569/-1), (B/570/-1), (N/574/-1)
S Station,	(C/501/-1), (C/515/-1), (L/573/-1)
T Station,	(W/515/-1), (I/537/-1), (A/569/-1), (F/573/-1), (P/575/-1)
U Station,	(D/509/-1), (P/570/-1)
V Station,	(T/474/-1), (R/498/-1), (G/501/-1), (H/530/-1), (H/534/-1), (J/562/-1)
W Station,	(O/571/-1), (G/585/-1), (M/586/-1)
