Greedy -30 PG	Serviced: 712, Unfair: 1, UserN :1000
Shuttle0,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,4,4,4,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,8,8,8,8,8,9,9,9,9,7,7,7,5,5,5,4,4,4,6,6,6,8,8,8,8,10,10,10,9,9,9,9,10,10,10,9,9,8,8,8,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,11,11,11,13,13,13,13,13,13,13,14,14,14,14,14,14,15,16,16,16,14,14,16,16,16,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,43,43,43,42,42,42,42,42,40,40,40,40,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,7,7,7,7,9,9,9,10,10,10,10,10,10,10,13,13,13,13,13,13,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,45,45,45,45,45,45,45,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,31,31,31,31,30,30,30,8,8,8,8,8,8,8,9,9,9,9,9,9,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,12,12,12,12,12,12,12,12,11,11,11,11,10,10,10,10,13,13,13,13,12,12,12,11,11,11,11,11,11,11,12,12,12,12,12,12,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,12,12,13,13,13,12,12,12,12,8,8,8,10,10,10,7,7,7,4,4,4,2,2,2,2,0
Shuttle1,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,10,10,10,9,9,9,9,10,10,10,11,11,11,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,18,18,18,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,18,18,18,18,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,18,18,18,18,18,17,17,17,17,19,19,19,19,19,19,19,19,19,18,18,18,17,17,17,17,17,17,17,16,16,16,16,17,17,17,15,15,17,17,17,19,19,19,19,17,17,17,17,17,17,17,17,16,16,16,16,17,17,17,17,18,18,18,18,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,45,45,45,45,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,43,43,43,9,9,9,9,9,9,9,9,10,10,10,10,9,9,9,9,10,10,10,10,9,9,9,10,10,10,10,10,10,10,13,13,13,13,13,13,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,43,43,43,20,20,20,20,20,20,20,20,19,19,19,19,24,24,24,24,25,25,25,25,24,24,24,14,14,14,14,14,14,14,16,16,16,16,16,16,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,43,43,43,13,13,13,13,13,13,13,13,14,14,14,14,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,45,45,45,45,45,45,45,44,44,44,44,45,45,45,45,45,42,42,42,36,36,36,36,6,6,6,6,6,6,6,6,4,4,4,4,3,3,3,3,0
Shuttle2,	0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,4,4,4,4,5,5,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle3,	0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42,42,42,42,42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle4,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

How early,	-26983/712,	32,28,2,2,33,34,36,35,38,13,-29,-29,-52,18,22,-67,-25,6,2,35,34,-52,-54,-25,15,-73,9,23,-40,-16,-11,-26,32,35,21,7,-84,-26,21,14,-16,-11,21,4,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,10,4,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,-16,-18,-16,-28,-18,14,-43,4,19,-19,-42,-3,-42,-42,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-19,-3,-51,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,29,29,29,29,29,29,-42,-35,-43,-3,-42,-31,25,0,7,-14,-31,1,18,-26,-10,8,-52,-52,-52,-52,-52,-52,-52,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-31,-10,-51,19,-77,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-42,-31,-9,0,-39,-6,7,-11,18,14,-4,-51,-63,-50,-14,18,-60,-88,-72,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-39,-41,-7,14,-4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,4,-22,-20,-41,-62,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-72,-50,-32,-20,-22,-31,-88,-72,-98,-66,-41,-38,-38,-27,-4,-39,-39,-3,11,-13,-50,-12,-90,-90,-90,-90,-90,-90,-90,-90,-95,-66,-22,-31,-58,-39,-13,-3,11,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-91,-41,-38,-38,-38,-38,-38,-38,-38,-38,-38,-27,-50,-90,-39,-12,-22,-35,-60,-24,-9,-106,-15,17,-210,-168,-171,-150,-129,-146,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-58,-39,-47,-21,-13,-22,-68,-90,-45,-39,-21,-12,-2,-34,-15,17,19,-103,-75,-59,-90,-33,-174,-75,-64,-76,-59,-33,-21,-181,-122,-122,-122,-122,-122,-90,-90,-53,-65,-63,-59,-38,-24,-8,13,-14,-28,-1,20,-6,-24,8,-23,-221,-204,-144,-121,-76,-61,-33,-71,-21,-8,-56,-14,-36,13,-28,-24,-1,8,20,-6,-32,-120,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-70,-48,-23,-35,-32,-8,-5,-111,-188,-125,-33,-7,15,-10,-79,-34,-230,-230,-230,-230,-186,-125,-127,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-93,-79,-71,-87,-33,-56,-34,-36,-28,-24,-166,-101,-94,-48,-23,-35,-32,-7,-8,-10,-5,15,-44,-17,-103,-95,-51,-75,-62,-100,-65,-60,-44,-118,-87,-62,-17,-100,-44

How wait,	35059/712,	27,30,8,4,4,4,0,0,8,0,3,3,44,24,3,8,17,0,17,24,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,37,27,37,5,36,37,8,12,27,24,0,5,5,37,0,20,5,24,5,12,52,52,56,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,37,34,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,9,9,9,9,9,9,15,21,24,20,34,5,0,38,38,37,52,24,90,90,90,90,90,90,90,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,47,34,38,47,0,87,78,78,78,78,78,78,78,78,20,34,32,5,18,1,7,25,11,44,13,45,15,24,47,11,48,40,13,14,15,34,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,40,45,25,45,14,24,34,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,24,40,44,80,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,46,48,44,13,40,23,12,72,46,84,14,34,42,45,24,17,20,25,23,43,21,67,67,67,67,67,67,67,67,67,67,67,93,40,23,20,17,26,43,36,28,22,2,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,75,53,42,42,42,42,42,42,42,42,42,42,45,63,23,25,22,21,22,29,11,98,28,17,13,2,138,12,23,4,220,192,195,188,161,164,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,20,17,26,43,36,28,29,42,23,25,22,21,22,2,23,12,16,4,7,2,127,43,175,96,26,35,43,25,199,126,126,126,126,58,94,21,57,87,66,66,46,63,37,37,14,35,135,126,18,33,78,10,1,6,19,19,199,182,134,113,62,35,43,25,35,18,33,48,6,6,19,10,19,1,6,22,110,126,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,46,78,14,31,33,22,12,9,220,32,4,31,58,248,248,248,248,204,143,131,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,103,123,51,39,102,51,18,58,48,6,19,126,105,78,14,31,33,22,32,12,31,9,4,68,41,129,127,83,107,91,126,91,86,103,102,91,41,118,82


Missed people's location (Destination / Demand time) At 539
A Station,	
B Station,	
C Station,	(B/408/-1), (B/408/-1), (B/408/-1), (B/408/-1), (N/412/-1), (N/412/-1), (N/412/-1), (N/412/-1), (N/412/-1), (N/412/-1), (N/412/-1), (N/412/-1), (N/412/-1), (N/412/-1), (N/412/-1), (N/412/-1), (N/412/-1), (S/428/-1), (M/518/-1)
D Station,	(F/317/-1), (F/338/-1), (F/351/-1), (F/424/-1), (F/448/-1), (C/512/-1)
E Station,	(N/501/-1), (Q/517/-1)
F Station,	
G Station,	(N/289/-1), (N/289/-1), (N/289/-1), (N/289/-1), (M/346/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/349/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (N/409/-1), (Q/421/-1), (S/451/-1), (E/481/-1), (U/520/-1)
H Station,	(P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/289/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (P/349/-1), (G/371/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (P/409/-1), (D/415/-1), (R/440/-1), (L/484/-1), (R/507/-1)
I Station,	(H/423/-1), (N/430/-1), (P/430/-1), (M/433/-1), (L/437/-1), (N/440/-1), (V/450/-1), (B/511/-1), (A/514/-1)
J Station,	(F/514/-1), (L/514/-1), (P/525/-1)
K Station,	(A/452/-1)
L Station,	
M Station,	
N Station,	(V/490/-1), (S/501/-1)
O Station,	
P Station,	(U/527/-1)
Q Station,	(R/389/-1), (R/501/-1)
R Station,	(U/424/-1), (A/437/-1), (G/449/-1), (S/492/-1), (U/527/-1), (O/531/-1)
S Station,	(E/431/-1), (A/442/-1), (K/481/-1), (T/484/-1)
T Station,	(K/444/-1), (O/495/-1), (B/521/-1)
U Station,	(L/334/-1), (N/420/-1), (P/435/-1), (N/463/-1), (V/470/-1), (M/474/-1), (Q/479/-1)
V Station,	
W Station,	(J/432/-1), (Q/510/-1)
